Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that 'Send Message' button is able to send message in 'Chat' ,ELE-69,10074,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 3:45 PM,08/Sep/21 12:37 PM,09/Sep/21 10:21 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i000dr:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Send Message' button with null value in the chat field,ELE-68,10073,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 3:43 PM,08/Sep/21 12:41 PM,09/Sep/21 10:21 AM,08/Sep/21 12:41 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i000dj:,,ELE Sprint 1,,,,,,,,Done
Verify that 'List View' in the detail field of assessments part is showing the test results in graph format,ELE-67,10072,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 3:11 PM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000db:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Show button' in the detail field of assessments part is showing the test details,ELE-66,10071,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 3:05 PM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000d3:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Result' of test in the assessments should be properly visible,ELE-65,10070,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 2:58 PM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000cv:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Weight' of test in the assessments should be properly visible,ELE-64,10069,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 2:57 PM,08/Sep/21 12:36 PM,08/Sep/21 11:50 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000cn:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Description' of test in the assessments should be properly visible,ELE-63,10068,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 2:56 PM,08/Sep/21 12:41 PM,09/Sep/21 10:21 AM,08/Sep/21 12:41 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000cf:,,ELE Sprint 1,,,,,,,,Done
Verify that 'name' of test in the assessments should be properly visible,ELE-62,10067,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 2:54 PM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000c7:,,ELE Sprint 1,,,,,,,,Done
Verify that 'type' of test in the assessments should be properly visible,ELE-61,10066,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 2:53 PM,08/Sep/21 12:41 PM,09/Sep/21 10:21 AM,08/Sep/21 12:41 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000bz:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Total' in the assessments should be able to show total Marks in percentage,ELE-60,10065,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 1:17 PM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000br:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Download Report in PDF button' should be able to download report in pdf format ,ELE-59,10064,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 1:02 PM,08/Sep/21 12:41 PM,09/Sep/21 10:21 AM,08/Sep/21 12:41 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000bj:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Assessments' link directs to correct page,ELE-58,10063,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 12:55 PM,08/Sep/21 12:36 PM,07/Sep/21 5:54 PM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000bb:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Assessments' logo in 'My Courses',ELE-57,10062,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 12:53 PM,08/Sep/21 12:41 PM,07/Sep/21 5:54 PM,08/Sep/21 12:41 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000b3:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Download Report in PDF button' should be clickable,ELE-56,10061,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 12:47 PM,08/Sep/21 12:40 PM,09/Sep/21 10:21 AM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-15,,,,,,,,{},,,,,,,0|i000av:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Download button' should be able to download selected format,ELE-55,10060,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 11:51 AM,08/Sep/21 12:40 PM,09/Sep/21 10:21 AM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i000an:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Radio button' should be able to select so that it would select selected format,ELE-54,10059,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 11:44 AM,08/Sep/21 12:40 PM,09/Sep/21 10:21 AM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i000af:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Search' button should be able to click so that it will search respected text in text field,ELE-53,10058,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 11:38 AM,08/Sep/21 12:40 PM,09/Sep/21 10:21 AM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i000a7:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Text field' in the glossary accepts the text,ELE-52,10057,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 11:33 AM,08/Sep/21 12:40 PM,09/Sep/21 10:21 AM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i0009z:,,ELE Sprint 1,,,,,,,,Done
Verify that 'List View' in glossary directs to new page or not,ELE-51,10056,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 11:28 AM,08/Sep/21 12:40 PM,09/Sep/21 10:21 AM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i0009r:,,ELE Sprint 1,,,,,,,,Done
Verify the 'List View' is clickable or not,ELE-50,10055,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,06/Sep/21 11:25 AM,08/Sep/21 12:39 PM,09/Sep/21 10:21 AM,08/Sep/21 12:39 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i0009j:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Export' in glossary directs to new page or not,ELE-49,10054,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 5:33 PM,08/Sep/21 12:39 PM,09/Sep/21 10:21 AM,08/Sep/21 12:39 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i0009b:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Export' field is clickable or not,ELE-48,10053,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 5:22 PM,08/Sep/21 12:37 PM,09/Sep/21 10:21 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i0008n:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Glosary' link directs to correct page,ELE-47,10052,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 5:16 PM,08/Sep/21 12:37 PM,09/Sep/21 10:21 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i0008f:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Glossary' logo in 'My Courses',ELE-46,10051,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 5:14 PM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-16,,,,,,,,{},,,,,,,0|i00087:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Anonymous' in the 'Surveys',ELE-45,10050,Bug,To Do,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 4:27 PM,08/Sep/21 3:08 PM,08/Sep/21 12:38 PM,,,0,"1.Go to the e_Learning app
2.Goto MyCourses field
3.Click on one of subscribed courses
4.Goto Surveys
5.Add details of Anonymous in Surveys

Expected result - Add Anonymous of assignment in Surveys

Actual Result - It is not showing Anonymous in surveys",,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,ELE-13,ELE-104,ELE-104,,,,,,,,{},,,,,,,0|i0007z:,,ELE Sprint 1,,,,,,,,To Do
Verify that 'Surveys' link directs to correct page,ELE-44,10049,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 4:20 PM,08/Sep/21 12:32 PM,09/Sep/21 10:21 AM,08/Sep/21 12:32 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-13,,,,,,,,{},,,,,,,0|i0007r:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Survey' logo is appearing properly,ELE-43,10048,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 4:16 PM,08/Sep/21 12:31 PM,09/Sep/21 10:21 AM,08/Sep/21 12:31 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-13,,,,,,,,{},,,,,,,0|i0007j:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Survey Name' in the 'Surveys',ELE-42,10047,Bug,To Do,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 4:03 PM,08/Sep/21 3:03 PM,08/Sep/21 12:38 PM,,,0,"1.Go to the e_Learning app
2.Goto MyCourses field
3.Click on one of subscribed courses
4.Goto Assignments
5.Add Survey name in Surveys

Expected result - Add Survey Name of assignment

Actual Result - It is not showing Survey name in surveys",,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,ELE-13,ELE-103,ELE-103,,03/Sep/21 4:29 PM;ug:0831a5ec-3455-4c17-a24c-de6b5b96ca40;Screenshot (27).png;https://snehalbhagwat.atlassian.net/secure/attachment/10005/Screenshot+%2827%29.png,,,,,,{},,,,,,,0|i0007b:,,ELE Sprint 1,,,,,,,,To Do
Verify that 'chat' logo is appearing properly ,ELE-36,10041,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 2:29 PM,08/Sep/21 12:35 PM,09/Sep/21 10:21 AM,08/Sep/21 12:35 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i00084:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Emoji' should be enter emoji on clicking,ELE-35,10040,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 1:04 PM,08/Sep/21 12:35 PM,09/Sep/21 10:21 AM,08/Sep/21 12:35 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i00085:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Emoji' field is clickable or not,ELE-34,10039,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 12:59 PM,08/Sep/21 12:37 PM,09/Sep/21 10:21 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i00093:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Preview' field is clickable or not,ELE-33,10038,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 12:46 PM,08/Sep/21 12:32 PM,09/Sep/21 10:21 AM,08/Sep/21 12:32 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i0007v:,,ELE Sprint 1,,,,,,,,Done
Verify 'My courses' field that subscribed courses are appear or not,ELE-32,10037,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 11:56 AM,08/Sep/21 12:32 PM,09/Sep/21 10:21 AM,08/Sep/21 12:32 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-26,,,,,,,,{},,,,,,,0|i00083:,,ELE Sprint 1,,,,,,,,Done
Verify that 'My Courses' field will be highlighed on clicking it,ELE-29,10034,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 10:45 AM,08/Sep/21 12:32 PM,09/Sep/21 10:21 AM,08/Sep/21 12:32 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-26,,,,,,,,{},,,,,,,0|i0007n:,,ELE Sprint 1,,,,,,,,Done
Verify that 'My Courses' field is properly aligned or not,ELE-28,10033,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 10:37 AM,08/Sep/21 12:37 PM,09/Sep/21 10:21 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-26,,,,,,,,{},,,,,,,0|i0008e:,,ELE Sprint 1,,,,,,,,Done
Verify that 'My Courses' field is clickable or not,ELE-27,10032,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 10:17 AM,08/Sep/21 12:37 PM,09/Sep/21 10:21 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-26,,,,,,,,{},,,,,,,0|i0008v:,,ELE Sprint 1,,,,,,,,Done
"As a user, I want to open the 'My Courses' field so that I would be able to explore subscribed courses",ELE-26,10031,Story,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,03/Sep/21 10:16 AM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002n:,,ELE Sprint 1,,,,,,,,Done
Verify 'preview' is perfectly visible or not,ELE-24,10029,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,02/Sep/21 6:02 PM,08/Sep/21 12:31 PM,09/Sep/21 10:21 AM,08/Sep/21 12:31 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i00079:,,ELE Sprint 1,,,,,,,,Done
Verify the 'write' field with blank spaces,ELE-23,10028,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,02/Sep/21 4:45 PM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i0008d:,,ELE Sprint 1,,,,,,,,Done
Verify the 'write' field with entering 'emojis',ELE-22,10027,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,02/Sep/21 4:43 PM,08/Sep/21 12:31 PM,09/Sep/21 10:21 AM,08/Sep/21 12:31 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i0007f:,,ELE Sprint 1,,,,,,,,Done
Verify the 'write' field with entering special symbols,ELE-21,10026,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,02/Sep/21 4:42 PM,08/Sep/21 12:31 PM,09/Sep/21 10:21 AM,08/Sep/21 12:31 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i00077:,,ELE Sprint 1,,,,,,,,Done
Verify 'write' field with more than 256 characters,ELE-20,10025,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,02/Sep/21 4:30 PM,08/Sep/21 12:31 PM,09/Sep/21 10:21 AM,08/Sep/21 12:31 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i00027:,,ELE Sprint 1,,,,,,,,Done
Verify 'write' field is clickable or not,ELE-19,10024,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,02/Sep/21 3:38 PM,08/Sep/21 12:36 PM,09/Sep/21 10:21 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-11,,,,,,,,{},,,,,,,0|i0008b:,,ELE Sprint 1,,,,,,,,Done
